IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.103.65,2086,2086,FALSE,SIN,Asia Pacific,Singapore,6,10.49
8.222.162.45,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,10.49
47.243.204.32,8443,443,TRUE,HKG,Asia Pacific,Hong Kong,44,10.48
47.245.118.70,80,80,FALSE,SIN,Asia Pacific,Singapore,31,10.48
8.219.42.72,80,80,FALSE,SIN,Asia Pacific,Singapore,18,10.47
8.217.221.165,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,64,10.46
8.222.223.34,2087,2087,TRUE,SIN,Asia Pacific,Singapore,42,10.45
8.222.249.98,443,443,TRUE,SIN,Asia Pacific,Singapore,64,10.45
8.219.145.245,443,443,TRUE,SIN,Asia Pacific,Singapore,153,10.45
8.219.222.98,443,443,TRUE,SIN,Asia Pacific,Singapore,140,10.43
47.236.116.182,443,443,TRUE,SIN,Asia Pacific,Singapore,61,10.43
8.222.209.223,2082,2082,FALSE,SIN,Asia Pacific,Singapore,5,10.43
8.218.174.118,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,63,10.43
8.222.221.90,443,443,TRUE,SIN,Asia Pacific,Singapore,82,10.43
8.217.239.116,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,109,10.41
47.236.171.205,2083,2083,TRUE,SIN,Asia Pacific,Singapore,79,10.41
8.218.2.181,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,47,10.4
8.219.152.195,2053,2053,TRUE,SIN,Asia Pacific,Singapore,99,10.4
47.236.253.41,2052,2052,FALSE,SIN,Asia Pacific,Singapore,30,10.4
8.222.197.251,80,80,FALSE,SIN,Asia Pacific,Singapore,3,10.4
8.219.179.34,80,80,FALSE,SIN,Asia Pacific,Singapore,3,10.4
8.219.6.157,2086,2086,FALSE,SIN,Asia Pacific,Singapore,10,10.4
8.219.157.97,443,443,TRUE,SIN,Asia Pacific,Singapore,38,10.4
8.222.254.91,2082,2082,FALSE,SIN,Asia Pacific,Singapore,11,10.39
8.219.98.13,2095,2095,FALSE,SIN,Asia Pacific,Singapore,26,10.39
8.219.247.203,2087,2087,TRUE,SIN,Asia Pacific,Singapore,183,10.39
8.219.101.72,8880,8880,FALSE,SIN,Asia Pacific,Singapore,33,10.39
8.222.255.15,2053,2053,TRUE,SIN,Asia Pacific,Singapore,9,10.38
8.218.207.169,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,42,10.38
8.222.136.247,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,10.38
47.236.254.120,8443,8443,TRUE,SIN,Asia Pacific,Singapore,128,10.37
8.219.177.205,2096,2096,TRUE,SIN,Asia Pacific,Singapore,129,10.37
8.219.186.189,2083,2083,TRUE,SIN,Asia Pacific,Singapore,99,10.37
8.222.160.176,8080,8080,FALSE,SIN,Asia Pacific,Singapore,48,10.36
8.219.1.92,2096,2096,TRUE,SIN,Asia Pacific,Singapore,46,10.36
8.219.5.10,8443,8443,TRUE,SIN,Asia Pacific,Singapore,117,10.36
8.222.212.219,443,443,TRUE,SIN,Asia Pacific,Singapore,38,10.36
8.219.0.162,2082,2082,FALSE,SIN,Asia Pacific,Singapore,27,10.35
