IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.253.41,2086,2086,FALSE,SIN,Asia Pacific,Singapore,38,9.78
47.236.164.215,80,80,FALSE,SIN,Asia Pacific,Singapore,12,9.76
8.219.11.158,2052,2052,FALSE,SIN,Asia Pacific,Singapore,17,9.76
8.222.214.231,2096,2096,TRUE,SIN,Asia Pacific,Singapore,50,9.76
8.222.187.4,2086,2086,FALSE,SIN,Asia Pacific,Singapore,35,9.76
8.218.207.169,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,40,9.76
8.219.213.112,8880,8880,FALSE,SIN,Asia Pacific,Singapore,4,9.75
8.219.101.138,2052,2052,FALSE,SIN,Asia Pacific,Singapore,9,9.74
8.219.87.34,80,80,FALSE,SIN,Asia Pacific,Singapore,38,9.74
8.222.184.198,2086,2086,FALSE,SIN,Asia Pacific,Singapore,22,9.74
8.219.170.223,2095,2095,FALSE,SIN,Asia Pacific,Singapore,29,9.74
47.236.169.141,80,80,FALSE,SIN,Asia Pacific,Singapore,39,9.73
47.236.254.120,8880,8880,FALSE,SIN,Asia Pacific,Singapore,28,9.73
47.236.169.164,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,9.73
8.222.254.91,2082,2082,FALSE,SIN,Asia Pacific,Singapore,14,9.72
8.219.106.156,2087,2087,TRUE,SIN,Asia Pacific,Singapore,34,9.72
8.222.249.98,2096,2096,TRUE,SIN,Asia Pacific,Singapore,60,9.72
8.219.100.168,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,9.72
47.76.146.1,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,64,9.72
8.219.11.158,8443,8443,TRUE,SIN,Asia Pacific,Singapore,24,9.71
8.219.142.191,2086,2086,FALSE,SIN,Asia Pacific,Singapore,5,9.71
8.219.97.179,443,443,TRUE,SIN,Asia Pacific,Singapore,84,9.71
8.219.156.148,2087,2087,TRUE,SIN,Asia Pacific,Singapore,85,9.7
8.219.99.169,2087,2087,TRUE,SIN,Asia Pacific,Singapore,46,9.7
47.236.253.41,8443,8443,TRUE,SIN,Asia Pacific,Singapore,59,9.69
8.222.202.163,2082,2082,FALSE,SIN,Asia Pacific,Singapore,29,9.69
47.236.150.13,2087,2087,TRUE,SIN,Asia Pacific,Singapore,91,9.68
8.219.74.35,8080,8080,FALSE,SIN,Asia Pacific,Singapore,9,9.68
47.236.165.25,2082,2082,FALSE,SIN,Asia Pacific,Singapore,17,9.67
47.236.166.131,2096,2096,TRUE,SIN,Asia Pacific,Singapore,64,9.67
47.236.144.208,8880,8880,FALSE,SIN,Asia Pacific,Singapore,16,9.66
47.236.165.25,80,80,FALSE,SIN,Asia Pacific,Singapore,22,9.66
8.219.51.211,2096,2096,TRUE,SIN,Asia Pacific,Singapore,82,9.66
8.219.99.8,2086,2086,FALSE,SIN,Asia Pacific,Singapore,7,9.66
8.219.1.92,2087,2087,TRUE,SIN,Asia Pacific,Singapore,134,9.65
8.222.208.38,8880,8880,FALSE,SIN,Asia Pacific,Singapore,50,9.65
8.218.143.10,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,36,9.65
8.218.136.25,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,122,9.64
8.219.159.232,2082,2082,FALSE,SIN,Asia Pacific,Singapore,17,9.64
8.219.74.35,8443,8443,TRUE,SIN,Asia Pacific,Singapore,147,9.64
8.222.226.15,8443,8443,TRUE,SIN,Asia Pacific,Singapore,56,9.63
8.219.145.245,8443,8443,TRUE,SIN,Asia Pacific,Singapore,82,9.63
8.218.22.210,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,51,9.63
47.243.86.79,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,54,9.62
8.219.142.191,2083,2083,TRUE,SIN,Asia Pacific,Singapore,48,9.62
8.219.251.81,2096,2096,TRUE,SIN,Asia Pacific,Singapore,82,9.62
8.217.85.14,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,109,9.61
8.218.119.115,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,45,9.61
47.236.169.164,2082,2082,FALSE,SIN,Asia Pacific,Singapore,28,9.61
47.242.79.71,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,63,9.59
47.236.169.141,2086,2086,FALSE,SIN,Asia Pacific,Singapore,25,9.59
47.236.168.17,8880,8880,FALSE,SIN,Asia Pacific,Singapore,24,9.59
8.219.103.57,2095,2095,FALSE,SIN,Asia Pacific,Singapore,9,9.58
8.219.111.147,2053,2053,TRUE,SIN,Asia Pacific,Singapore,63,9.58
47.236.171.205,2086,2086,FALSE,SIN,Asia Pacific,Singapore,6,9.57
8.222.236.229,2052,2052,FALSE,SIN,Asia Pacific,Singapore,15,9.57
8.222.226.15,2087,2087,TRUE,SIN,Asia Pacific,Singapore,51,9.57
